Clase,Fidelidad,Diversidad
0,0.663,18.067049
1,0.6505,17.567114
2,0.7805,17.744589
3,0.656,17.792519
4,0.719,16.480864
5,0.7025,18.198582
6,0.691,18.187317
7,0.747,17.287067
8,0.606,17.55641
9,0.5705,17.35978
Promedio,0.6786,17.62413
